FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
15,43,0.234375,-0.250007,606.000000,0.007812,0.234375
15,44,0.281250,-0.250007,492.000000,0.027344,0.279297
16,1,0.234375,0.000000,247.000000,0.058594,0.226562
16,2,0.281250,0.000000,266.000000,-0.027344,0.279297
16,3,0.187500,0.250007,130.000000,0.105469,0.154297
16,4,0.234375,0.250007,224.000000,0.132812,0.193359
16,5,0.187500,0.375010,57.000000,0.105469,0.154297
16,6,0.234375,0.375010,99.000000,0.132812,0.193359
16,7,0.187500,-0.875023,261.000000,-0.017578,0.187500
16,8,0.234375,-0.875023,270.000000,-0.021484,0.232422
16,9,0.281250,-0.875023,121.000000,-0.017578,0.281250
16,10,0.421875,-0.875023,83.000000,0.105469,0.408203
16,11,0.468750,-0.875023,81.000000,0.103516,0.457031
16,12,0.140625,-0.750020,303.000000,-0.009766,0.140625
16,13,0.187500,-0.750020,833.000000,-0.011719,0.187500
16,14,0.234375,-0.750020,931.000000,-0.007812,0.234375
16,15,0.281250,-0.750020,458.000000,-0.115234,0.257812
16,16,0.328125,-0.750020,84.000000,-0.144531,0.294922
16,17,0.140625,-0.625017,268.000000,-0.009766,0.140625
16,18,0.187500,-0.625017,718.000000,-0.017578,0.187500
16,19,0.234375,-0.625017,1067.000000,-0.021484,0.232422
16,20,0.281250,-0.625017,863.000000,-0.027344,0.279297
16,21,0.328125,-0.625017,305.000000,-0.021484,0.328125
16,22,0.187500,-0.500013,572.000000,-0.017578,0.187500
16,23,0.234375,-0.500013,1393.000000,-0.015625,0.234375
16,24,0.281250,-0.500013,1256.000000,-0.017578,0.281250
16,25,0.328125,-0.500013,445.000000,-0.009766,0.328125
16,26,0.187500,-0.375010,769.000000,0.041016,0.183594
16,27,0.234375,-0.375010,1853.000000,0.050781,0.228516
16,28,0.281250,-0.375010,1719.000000,0.062500,0.275391
16,29,0.328125,-0.375010,621.000000,0.082031,0.318359
16,30,0.187500,-0.250007,807.000000,0.046875,0.181641
16,31,0.234375,-0.250007,1942.000000,0.058594,0.226562
16,32,0.281250,-0.250007,1781.000000,0.070312,0.271484
16,33,0.328125,-0.250007,626.000000,0.082031,0.318359
16,34,0.187500,-0.125003,298.000000,0.046875,0.181641
16,35,0.234375,-0.125003,713.000000,0.058594,0.226562
16,36,0.281250,-0.125003,630.000000,0.070312,0.271484
16,37,0.234375,0.000000,220.000000,-0.029297,0.232422
16,38,0.281250,0.000000,202.000000,0.070312,0.271484
16,39,0.187500,-0.875023,208.000000,-0.087891,0.166016
16,40,0.234375,-0.875023,217.000000,-0.109375,0.207031
16,41,0.281250,-0.875023,99.000000,-0.123047,0.253906
16,42,0.140625,-0.750020,280.000000,-0.066406,0.125000
16,43,0.187500,-0.750020,787.000000,-0.082031,0.167969
16,44,0.234375,-0.750020,910.000000,-0.103516,0.210938
16,45,0.281250,-0.750020,449.000000,-0.009766,0.281250
16,46,0.328125,-0.750020,74.000000,-0.009766,0.328125
16,47,0.140625,-0.625017,205.000000,-0.066406,0.125000
16,48,0.187500,-0.625017,660.000000,-0.087891,0.166016
16,49,0.234375,-0.625017,922.000000,-0.109375,0.207031
16,50,0.187500,-0.500013,500.000000,-0.087891,0.166016
16,51,0.234375,-0.500013,1119.000000,-0.103516,0.210938
16,52,0.281250,-0.500013,963.000000,-0.123047,0.253906
16,53,0.328125,-0.500013,339.000000,-0.144531,0.294922
17,1,0.187500,0.000000,634.000000,0.041016,0.183594
17,2,0.234375,0.000000,1076.000000,0.058594,0.226562
17,3,0.281250,0.000000,738.000000,0.070312,0.271484
17,4,0.187500,0.125003,279.000000,0.123047,0.140625
17,5,0.234375,0.125003,326.000000,0.066406,0.224609
17,6,0.187500,0.250007,283.000000,0.123047,0.140625
17,7,0.234375,0.250007,290.000000,0.154297,0.177734
17,8,0.187500,0.375010,89.000000,0.117188,0.146484
17,9,0.187500,-0.500013,195.000000,-0.035156,0.183594
17,10,0.140625,-0.375010,481.000000,0.017578,0.138672
17,11,0.187500,-0.375010,679.000000,0.029297,0.185547
17,12,0.234375,-0.375010,486.000000,-0.044922,0.230469
17,13,0.281250,-0.375010,233.000000,-0.044922,0.277344
17,14,0.140625,-0.250007,452.000000,-0.031250,0.136719
17,15,0.187500,-0.250007,994.000000,0.035156,0.183594
17,16,0.234375,-0.250007,1404.000000,0.050781,0.228516
17,17,0.281250,-0.250007,963.000000,0.070312,0.271484
17,18,0.328125,-0.250007,288.000000,0.091797,0.314453
17,19,0.140625,-0.125003,202.000000,0.021484,0.138672
17,20,0.187500,-0.125003,1198.000000,0.035156,0.183594
17,21,0.234375,-0.125003,2106.000000,0.050781,0.228516
17,22,0.281250,-0.125003,1459.000000,0.062500,0.275391
17,23,0.328125,-0.125003,404.000000,0.082031,0.318359
17,24,0.187500,0.125003,268.000000,0.052734,0.179688
17,25,0.234375,0.125003,288.000000,0.154297,0.177734
17,26,0.187500,-0.500013,165.000000,0.035156,0.183594
17,27,0.140625,-0.375010,446.000000,-0.035156,0.136719
