FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
39,41,0.140625,0.125003,137.000000,0.003906,0.140625
39,42,0.187500,0.125003,440.000000,0.005859,0.187500
39,43,0.234375,0.125003,527.000000,0.000000,0.234375
39,44,0.140625,0.250007,92.000000,0.003906,0.140625
39,45,0.187500,0.250007,290.000000,0.005859,0.187500
39,46,0.328125,-0.875023,89.000000,-0.103516,0.312500
39,47,0.140625,-0.750020,310.000000,-0.091797,0.105469
39,48,0.187500,-0.750020,1047.000000,-0.123047,0.140625
39,49,0.234375,-0.750020,1389.000000,-0.154297,0.177734
39,50,0.281250,-0.750020,795.000000,-0.087891,0.267578
39,51,0.328125,-0.750020,160.000000,-0.091797,0.314453
39,52,0.375000,-0.750020,69.000000,-0.140625,0.347656
40,1,0.140625,-0.875023,365.000000,-0.048828,0.132812
40,2,0.187500,-0.875023,813.000000,-0.064453,0.175781
40,3,0.234375,-0.875023,701.000000,-0.080078,0.220703
40,4,0.281250,-0.875023,233.000000,-0.087891,0.267578
40,5,0.140625,-0.750020,523.000000,-0.048828,0.132812
40,6,0.187500,-0.750020,1189.000000,-0.064453,0.175781
40,7,0.234375,-0.750020,1050.000000,-0.080078,0.220703
40,8,0.281250,-0.750020,362.000000,-0.087891,0.267578
40,9,0.140625,-0.625017,443.000000,-0.056641,0.128906
40,10,0.187500,-0.625017,979.000000,-0.076172,0.171875
40,11,0.234375,-0.625017,874.000000,-0.095703,0.214844
40,12,0.281250,-0.625017,326.000000,-0.105469,0.261719
40,13,0.140625,-0.500013,501.000000,0.003906,0.140625
40,14,0.187500,-0.500013,906.000000,0.005859,0.187500
40,15,0.234375,-0.500013,680.000000,-0.080078,0.220703
40,16,0.281250,-0.500013,261.000000,-0.097656,0.263672
40,17,0.140625,-0.375010,422.000000,0.013672,0.140625
40,18,0.187500,-0.375010,693.000000,0.023438,0.185547
40,19,0.234375,-0.375010,429.000000,0.029297,0.232422
40,20,0.140625,-0.250007,228.000000,0.035156,0.136719
40,21,0.187500,-0.250007,445.000000,-0.017578,0.187500
40,22,0.234375,-0.250007,450.000000,-0.015625,0.234375
40,23,0.281250,-0.250007,210.000000,0.000000,0.281250
40,24,0.140625,-0.125003,161.000000,0.044922,0.132812
40,25,0.187500,-0.125003,301.000000,-0.005859,0.187500
40,26,0.234375,-0.125003,330.000000,-0.007812,0.234375
40,27,0.140625,-0.625017,395.000000,-0.003906,0.140625
40,28,0.187500,-0.625017,760.000000,-0.005859,0.187500
40,29,0.140625,-0.500013,393.000000,-0.048828,0.132812
40,30,0.187500,-0.500013,790.000000,-0.070312,0.173828
40,31,0.234375,-0.500013,664.000000,0.007812,0.234375
40,32,0.281250,-0.500013,187.000000,0.009766,0.281250
40,33,0.140625,-0.250007,196.000000,-0.017578,0.138672
40,34,0.187500,-0.250007,419.000000,0.046875,0.181641
40,35,0.281250,-0.250007,173.000000,-0.105469,0.261719
40,36,0.140625,-0.125003,116.000000,-0.009766,0.140625
40,37,0.187500,-0.125003,288.000000,0.058594,0.177734
41,1,0.140625,0.000000,334.000000,0.003906,0.140625
41,2,0.187500,0.000000,515.000000,0.005859,0.187500
41,3,0.234375,0.000000,351.000000,0.007812,0.234375
41,4,0.140625,0.125003,453.000000,0.000000,0.140625
41,5,0.187500,0.125003,758.000000,0.064453,0.175781
41,6,0.234375,0.125003,600.000000,0.080078,0.220703
41,7,0.140625,0.250007,391.000000,0.074219,0.119141
41,8,0.187500,0.250007,637.000000,0.046875,0.181641
41,9,0.234375,0.250007,614.000000,0.074219,0.222656
41,10,0.281250,0.250007,238.000000,0.097656,0.263672
41,11,0.140625,0.375010,523.000000,0.080078,0.117188
41,12,0.187500,0.375010,887.000000,0.105469,0.154297
41,13,0.234375,0.375010,584.000000,0.132812,0.193359
41,14,0.140625,0.500013,282.000000,0.080078,0.117188
41,15,0.187500,0.500013,507.000000,0.105469,0.154297
41,16,0.234375,0.500013,420.000000,0.146484,0.183594
41,17,0.140625,0.625017,145.000000,0.087891,0.109375
41,18,0.187500,0.625017,468.000000,0.117188,0.146484
41,19,0.234375,0.625017,515.000000,0.146484,0.183594
41,20,0.281250,0.625017,208.000000,0.175781,0.218750
41,21,0.140625,-0.375010,470.000000,-0.003906,0.140625
41,22,0.187500,-0.375010,679.000000,-0.005859,0.187500
41,23,0.234375,-0.375010,377.000000,-0.007812,0.234375
41,24,0.093750,-0.250007,139.000000,0.000000,0.093750
41,25,0.140625,-0.250007,616.000000,0.000000,0.140625
41,26,0.187500,-0.250007,905.000000,0.000000,0.187500
41,27,0.234375,-0.250007,525.000000,0.000000,0.234375
41,28,0.140625,-0.125003,349.000000,0.003906,0.140625
41,29,0.187500,-0.125003,559.000000,0.005859,0.187500
41,30,0.234375,-0.125003,385.000000,0.007812,0.234375
41,31,0.187500,0.000000,365.000000,0.070312,0.173828
41,32,0.234375,0.000000,298.000000,0.087891,0.216797
41,33,0.140625,0.125003,451.000000,0.052734,0.130859
41,34,0.187500,0.125003,753.000000,-0.005859,0.187500
41,35,0.234375,0.125003,580.000000,-0.007812,0.234375
41,36,0.140625,0.250007,339.000000,0.017578,0.138672
41,37,0.187500,0.250007,597.000000,-0.005859,0.187500
41,38,0.234375,0.250007,539.000000,-0.007812,0.234375
41,39,0.281250,0.250007,226.000000,-0.009766,0.281250
41,40,0.140625,0.375010,389.000000,0.027344,0.138672
41,41,0.187500,0.375010,667.000000,0.035156,0.183594
41,42,0.234375,0.375010,472.000000,0.044922,0.230469
41,43,0.140625,0.500013,203.000000,0.027344,0.138672
41,44,0.140625,-0.375010,407.000000,-0.056641,0.128906
42,1,0.140625,0.000000,236.000000,0.087891,0.109375
42,2,0.187500,0.000000,403.000000,0.117188,0.146484
42,3,0.234375,0.000000,272.000000,0.066406,0.224609
42,4,0.140625,0.125003,592.000000,0.087891,0.109375
42,5,0.187500,0.125003,1066.000000,0.117188,0.146484
42,6,0.234375,0.125003,750.000000,0.154297,0.177734
42,7,0.140625,0.250007,622.000000,0.087891,0.109375
42,8,0.187500,0.250007,1242.000000,0.123047,0.140625
42,9,0.234375,0.250007,993.000000,0.154297,0.177734
42,10,0.281250,0.250007,320.000000,0.185547,0.212891
42,11,0.140625,0.375010,248.000000,0.091797,0.105469
42,12,0.187500,0.375010,573.000000,0.128906,0.136719
42,13,0.234375,0.375010,522.000000,0.162109,0.169922
42,14,0.281250,0.375010,197.000000,0.185547,0.212891
42,15,0.140625,-0.125003,97.000000,0.031250,0.136719
42,16,0.187500,-0.125003,142.000000,0.041016,0.183594
42,17,0.140625,0.000000,212.000000,0.035156,0.136719
42,18,0.187500,0.000000,378.000000,0.052734,0.179688
42,19,0.234375,0.000000,261.000000,0.154297,0.177734
42,20,0.140625,0.125003,519.000000,0.035156,0.136719
42,21,0.187500,0.125003,918.000000,0.046875,0.181641
42,22,0.234375,0.125003,667.000000,0.066406,0.224609
42,23,0.140625,0.250007,441.000000,0.035156,0.136719
42,24,0.140625,-0.125003,75.000000,-0.021484,0.138672
42,25,0.187500,-0.125003,113.000000,0.111328,0.150391
43,1,0.140625,0.000000,351.000000,0.087891,0.109375
43,2,0.187500,0.000000,688.000000,0.117188,0.146484
43,3,0.234375,0.000000,532.000000,0.146484,0.183594
43,4,0.281250,0.000000,158.000000,0.185547,0.212891
43,5,0.140625,-0.375010,60.000000,0.097656,0.101562
43,6,0.187500,-0.375010,137.000000,0.128906,0.136719
43,7,0.234375,-0.375010,130.000000,0.154297,0.177734
43,8,0.281250,-0.375010,56.000000,0.175781,0.218750
43,9,0.140625,-0.250007,412.000000,0.091797,0.105469
44,1,0.140625,0.000000,351.000000,0.087891,0.109375
44,2,0.187500,0.000000,688.000000,0.117188,0.146484
44,3,0.234375,0.000000,532.000000,0.146484,0.183594
44,4,0.281250,0.000000,158.000000,0.185547,0.212891
44,5,0.140625,-0.375010,60.000000,0.097656,0.101562
44,6,0.187500,-0.375010,137.000000,0.128906,0.136719
44,7,0.234375,-0.375010,130.000000,0.154297,0.177734
44,8,0.281250,-0.375010,56.000000,0.175781,0.218750
44,9,0.140625,-0.250007,412.000000,0.091797,0.105469
44,10,0.187500,-0.250007,860.000000,0.123047,0.140625
44,11,0.234375,-0.250007,717.000000,0.154297,0.177734
44,12,0.281250,-0.250007,239.000000,0.185547,0.212891
44,13,0.140625,-0.125003,707.000000,0.083984,0.113281
44,14,0.187500,-0.125003,1404.000000,0.117188,0.146484
44,15,0.234375,-0.125003,1112.000000,0.146484,0.183594
44,16,0.281250,-0.125003,337.000000,0.175781,0.218750
44,17,0.140625,-0.250007,307.000000,0.039062,0.134766
44,18,0.187500,-0.250007,628.000000,0.052734,0.179688
44,19,0.234375,-0.250007,518.000000,0.066406,0.224609
45,1,0.093750,0.000000,78.000000,-0.029297,0.089844
45,2,0.140625,0.000000,349.000000,-0.044922,0.132812
45,3,0.187500,0.000000,510.000000,-0.058594,0.177734
45,4,0.234375,0.000000,361.000000,0.015625,0.234375
45,5,0.281250,0.000000,133.000000,0.009766,0.281250
45,6,0.093750,0.125003,152.000000,-0.029297,0.089844
45,7,0.140625,0.125003,694.000000,0.009766,0.140625
45,8,0.187500,0.125003,1061.000000,0.011719,0.187500
45,9,0.234375,0.125003,671.000000,0.015625,0.234375
45,10,0.093750,0.250007,119.000000,0.005859,0.093750
45,11,0.140625,0.250007,553.000000,0.009766,0.140625
45,12,0.187500,0.250007,848.000000,0.011719,0.187500
45,13,0.234375,0.250007,531.000000,0.015625,0.234375
45,14,0.187500,-0.500013,175.000000,0.123047,0.140625
45,15,0.234375,-0.500013,217.000000,0.154297,0.177734
45,16,0.140625,-0.375010,340.000000,0.083984,0.113281
45,17,0.187500,-0.375010,849.000000,0.117188,0.146484
45,18,0.234375,-0.375010,848.000000,0.146484,0.183594
45,19,0.281250,-0.375010,346.000000,0.175781,0.218750
45,20,0.140625,-0.250007,445.000000,0.091797,0.105469
45,21,0.187500,-0.250007,1030.000000,0.123047,0.140625
45,22,0.234375,-0.250007,940.000000,0.154297,0.177734
45,23,0.281250,-0.250007,345.000000,0.185547,0.212891
45,24,0.140625,-0.125003,277.000000,0.048828,0.132812
45,25,0.187500,-0.125003,434.000000,0.064453,0.175781
45,26,0.234375,-0.125003,319.000000,0.162109,0.169922
45,27,0.140625,0.000000,268.000000,0.013672,0.140625
45,28,0.187500,0.000000,474.000000,0.011719,0.187500
45,29,0.234375,0.000000,293.000000,-0.074219,0.222656
45,30,0.093750,0.125003,150.000000,0.005859,0.093750
45,31,0.140625,0.125003,680.000000,-0.044922,0.132812
45,32,0.187500,0.125003,984.000000,-0.058594,0.177734
45,33,0.234375,0.125003,560.000000,-0.074219,0.222656
45,34,0.093750,0.250007,115.000000,-0.029297,0.089844
45,35,0.140625,0.250007,516.000000,-0.044922,0.132812
45,36,0.187500,0.250007,751.000000,-0.058594,0.177734
45,37,0.234375,0.250007,427.000000,-0.074219,0.222656
45,38,0.140625,-0.250007,337.000000,0.039062,0.134766
45,39,0.281250,-0.250007,251.000000,0.080078,0.269531
45,40,0.187500,-0.125003,370.000000,0.128906,0.136719
45,41,0.234375,-0.125003,319.000000,0.087891,0.216797
46,1,0.140625,0.000000,132.000000,0.048828,0.132812
46,2,0.187500,0.000000,198.000000,0.076172,0.171875
46,3,0.234375,0.000000,179.000000,0.029297,0.232422
46,4,0.140625,0.125003,277.000000,0.039062,0.134766
46,5,0.187500,0.125003,377.000000,0.064453,0.175781
46,6,0.234375,0.125003,272.000000,0.021484,0.232422
46,7,0.140625,0.250007,223.000000,0.021484,0.138672
46,8,0.187500,0.250007,400.000000,-0.058594,0.177734
46,9,0.234375,0.250007,331.000000,-0.074219,0.222656
46,10,0.140625,0.375010,422.000000,-0.080078,0.117188
46,11,0.187500,0.375010,790.000000,-0.105469,0.154297
46,12,0.234375,0.375010,580.000000,-0.138672,0.189453
46,13,0.140625,0.500013,443.000000,-0.027344,0.138672
